time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-04-28 00:00:00,9.9,8.3,90,0,,293,2,15,1024.8,,2
2025-04-28 01:00:00,8.4,8,97,0,,276,5,9,1025,,2
2025-04-28 02:00:00,8.2,7.8,97,0,,283,7,13,1024.8,,2
2025-04-28 03:00:00,7.8,7,95,0,,304,3,7,1024.7,,5
2025-04-28 04:00:00,5.8,5.5,98,0,,306,4,6,1025.1,,5
2025-04-28 05:00:00,5.4,5.3,99,0,,309,6,9.3,1025.3,,5
2025-04-28 06:00:00,6.4,6,97,0,,192,3,8,1025.2,,5
2025-04-28 07:00:00,6.8,6.2,96,0,,293,4,6,1025.6,,5
2025-04-28 08:00:00,9.3,8.2,93,0,0,343,7,7.4,1025.5,,2
2025-04-28 09:00:00,11.9,9.3,84,0,,322,6,11,1025.2,,2
2025-04-28 10:00:00,13.8,8.8,72,0,,15,6,14,1024.7,,2
2025-04-28 11:00:00,16.1,9.3,64,0,,346,8,16.7,1024,,2
2025-04-28 12:00:00,18.7,10.8,60,0,,55,15,26,1023.3,,3
2025-04-28 13:00:00,19.5,8.8,50,0,,49,17,27,1022.6,,3
2025-04-28 14:00:00,20.4,9,48,0,,57,15,22.2,1022.1,,3
2025-04-28 15:00:00,20.7,8.7,46,0,,60,14,28,1021.8,,3
2025-04-28 16:00:00,21.6,9.5,46,0,,11,15,26,1021.2,,3
2025-04-28 17:00:00,21.6,8.1,42,0,,46,12,24.1,1020.8,,2
2025-04-28 18:00:00,22.1,7.5,39,0,,56,9,21,1020.6,,2
2025-04-28 19:00:00,21.1,7.3,41,0,,89,17,23,1020.8,,2
2025-04-28 20:00:00,20.4,7.7,44,0,0,78,9,18.5,1020.9,,2
2025-04-28 21:00:00,17.8,9.4,58,0,,49,6,13,1021.9,,2
2025-04-28 22:00:00,17.6,9,57,0,,54,13,18,1022.5,,2
2025-04-28 23:00:00,15.5,9.6,68,0,,258,5,13,1023.2,,2
2025-04-29 00:00:00,13.1,9.9,81,0,,318,6,11,1024,,2
2025-04-29 01:00:00,10.9,9.3,90,0,,307,8,11,1024.5,,2
2025-04-29 02:00:00,8.7,7.8,94,0,,6,3,9.3,1024.7,,2
2025-04-29 03:00:00,9.6,8.2,91,0,,338,4,6,1024.3,,2
2025-04-29 04:00:00,9.1,7.9,92,0,,335,4,8,1024.2,,2
2025-04-29 05:00:00,7.7,6.8,94,0,,127,4,7.4,1024.6,,2
2025-04-29 06:00:00,8.6,7.1,90,0,,278,2,5,1024.7,,2
2025-04-29 07:00:00,7.8,6.7,93,0,,196,1,5,1025.3,,2
2025-04-29 08:00:00,11.5,8.5,82,0,0,10,2,7.4,1025.1,,2
2025-04-29 09:00:00,13.7,9.1,74,0,,303,3,6,1024.8,,2
2025-04-29 10:00:00,15.9,8.4,61,0,,300,5,9,1024.1,,2
2025-04-29 11:00:00,17.8,9.4,58,0,,39,5,16.7,1023.6,,2
2025-04-29 12:00:00,20,10.4,54,0,,46,10,27,1023,,1
2025-04-29 13:00:00,21.7,10.2,48,0,,50,23,37,1022.1,,1
2025-04-29 14:00:00,22.2,9.4,44,0,,31,21,27.8,1021.5,,1
2025-04-29 15:00:00,23.5,8.7,39,0,,49,21,33,1020.7,,1
2025-04-29 16:00:00,24,7.6,35,0,,26,17,30,1019.9,,2
2025-04-29 17:00:00,24.1,6.4,32,0,,84,22,29.6,1019.5,,2
2025-04-29 18:00:00,23.6,6.4,33,0,,78,19,31,1019.3,,2
2025-04-29 19:00:00,23,6.3,34,0,,51,15,31,1019.2,,2
2025-04-29 20:00:00,21.7,6.4,37,0,0,62,9,25.9,1019.5,,2
2025-04-29 21:00:00,20.1,6.1,40,0,,62,16,22,1020.4,,2
2025-04-29 22:00:00,17.8,7.8,52,0,,139,15,22,1021.9,,2
2025-04-29 23:00:00,16.4,8.1,58,0,,133,15,14.8,1022.5,,1
2025-04-30 00:00:00,15.2,8.4,64,0,,97,10,27,1022.4,,2
2025-04-30 01:00:00,10.7,7.8,82,0,,54,3,9,1022.9,,2
2025-04-30 02:00:00,9.9,8.2,89,0,,207,4,11.1,1023,,1
2025-04-30 03:00:00,8.4,6.9,90,0,,54,3,6,1023,,1
2025-04-30 04:00:00,7.6,6.5,93,0,,284,6,7,1023.2,,1
2025-04-30 05:00:00,7.9,7,94,0,,196,2,7.4,1023.3,,5
2025-04-30 06:00:00,6.3,5.6,95,0,,292,5,6,1023.7,,1
2025-04-30 07:00:00,7.7,6.9,95,0,,325,5,9,1023.7,,1
2025-04-30 08:00:00,10.9,8.6,86,0,0,220,1,7.4,1023.5,,1
2025-04-30 09:00:00,14.2,9.6,74,0,,326,3,6,1023.1,,1
2025-04-30 10:00:00,16.7,10.1,65,0,,293,5,10,1022.5,,1
2025-04-30 11:00:00,19.1,10.1,56,0,,24,4,13,1022,,1
2025-04-30 12:00:00,20.3,9.8,51,0,,8,4,16,1021.4,,1
2025-04-30 13:00:00,22,6.6,37,0,,61,20,32,1020.7,,1
2025-04-30 14:00:00,23.7,8.5,38,0,,70,12,22.2,1020,,1
2025-04-30 15:00:00,24.4,8.4,36,0,,55,5,24,1019.5,,1
2025-04-30 16:00:00,24.1,2.3,24,0,,33,15,27,1018.9,,1
2025-04-30 17:00:00,24.3,2.4,24,0,,57,13,24.1,1018.1,,1
2025-04-30 18:00:00,24.3,6.1,31,0,,50,13,24,1017.9,,1
2025-04-30 19:00:00,23.6,5.9,32,0,,83,10,22,1017.8,,1
2025-04-30 20:00:00,22.1,5.9,35,0,0,79,10,18.5,1018.1,,1
2025-04-30 21:00:00,17.4,6.6,49,0,,32,2,14,1019.1,,1
2025-04-30 22:00:00,15.8,6.8,55,0,,280,3,6,1019.8,,1
2025-04-30 23:00:00,13.4,8.5,72,0,,265,8,11.1,1020.4,,1
2025-05-01 00:00:00,12.7,8.6,76,0,,258,2,10,1020.7,,1
2025-05-01 01:00:00,11.7,7.8,77,0,,240,2,7,1020.9,,1
2025-05-01 02:00:00,9.1,7.2,88,0,,323,4,7.4,1021.3,,1
2025-05-01 03:00:00,9.3,7.6,89,0,,169,3,8,1021.4,,1
2025-05-01 04:00:00,8.7,7.3,91,0,,241,1,5,1021.5,,1
2025-05-01 05:00:00,8.5,7.6,94,0,,159,2,5.5,1021.5,,5
2025-05-01 06:00:00,7.4,6.3,93,0,,166,2,5,1022.2,,5
2025-05-01 07:00:00,7.5,6.8,95,0,,245,2,4,1022.5,,1
2025-05-01 08:00:00,11,8.6,85,0,0,226,1,7.4,1022.2,,1
2025-05-01 09:00:00,13.8,8.8,72,0,,94,3,6,1021.8,,1
2025-05-01 10:00:00,17.3,9.5,60,0,,91,3,8,1021.1,,1
2025-05-01 11:00:00,19.4,10.1,55,0,,113,3,9.3,1020.5,,1
2025-05-01 12:00:00,22.1,10.9,49,0,,82,4,9,1019.5,,1
2025-05-01 13:00:00,23.5,9.8,42,0,,346,4,12,1018.9,,1
2025-05-01 14:00:00,24.5,7.6,34,0,,346,6,18.5,1018.3,,1
2025-05-01 15:00:00,24.7,6.4,31,0,,355,7,18,1017.6,,1
2025-05-01 16:00:00,25.4,1.5,21,0,,338,6,18,1016.7,,1
2025-05-01 17:00:00,25.5,3.4,24,0,,316,4,18.5,1016.4,,1
2025-05-01 18:00:00,25.2,4.9,27,0,,274,3,13,1016.1,,1
2025-05-01 19:00:00,24.9,5.6,29,0,,19,3,11,1015.9,,1
2025-05-01 20:00:00,24.5,4.8,28,0,0,59,3,11.1,1015.7,,1
2025-05-01 21:00:00,17,9.2,60,0,,266,2,8,1017.4,,1
2025-05-01 22:00:00,15.9,8.1,60,0,,110,2,4,1018,,1
2025-05-01 23:00:00,15.4,7.2,58,0,,81,3,9.3,1018.2,,1
